Bin Edges (MeV)	Photon Count
1.1e-07	35139.0
0.01099871	34852.0
0.02199731	34807.0
0.0329959	34887.0
0.0439945	34800.0
0.0549931	34968.0
0.06599169	35858.0
0.07699029	39597.0
0.08798889	47670.0
0.09898748	61860.0
0.10998608	80212.0
0.12098468	97799.0
0.13198328	113380.0
0.14298187	124674.0
0.15398047	134551.0
0.16497907	142846.0
0.17597766	150167.0
0.18697626	156764.0
0.19797486	161921.0
0.20897345	166172.0
0.21997205	171068.0
0.23097065	174420.0
0.24196925	178669.0
0.25296784	182766.0
0.26396644	187104.0
0.27496504	188372.0
0.28596363	188789.0
0.29696223	188914.0
0.30796083	188625.0
0.31895942	187726.0
0.32995802	186854.0
0.34095662	183342.0
0.35195521	183221.0
0.36295381	179451.0
0.37395241	178905.0
0.38495101	175006.0
0.3959496	172048.0
0.4069482	169791.0
0.4179468	167003.0
0.42894539	163345.0
0.43994399	160684.0
0.45094259	156407.0
0.46194118	152798.0
0.47293978	149862.0
0.48393838	146799.0
0.49493698	143831.0
0.50593557	143159.0
0.51693417	138267.0
0.52793277	133812.0
0.53893136	131678.0
0.54992996	128534.0
0.56092856	125929.0
0.57192715	123759.0
0.58292575	120578.0
0.59392435	118295.0
0.60492295	115453.0
0.61592154	113058.0
0.62692014	110217.0
0.63791874	108623.0
0.64891733	106941.0
0.65991593	103887.0
0.67091453	102226.0
0.68191312	101345.0
0.69291172	98733.0
0.70391032	96848.0
0.71490891	94483.0
0.72590751	93048.0
0.73690611	91140.0
0.74790471	88976.0
0.7589033	88747.0
0.7699019	85977.0
0.7809005	84550.0
0.79189909	83072.0
0.80289769	81498.0
0.81389629	80065.0
0.82489488	78178.0
0.83589348	77369.0
0.84689208	76078.0
0.85789068	74001.0
0.86888927	73110.0
0.87988787	72104.0
0.89088647	70754.0
0.90188506	69564.0
0.91288366	68003.0
0.92388226	67413.0
0.93488085	66467.0
0.94587945	65646.0
0.95687805	64472.0
0.96787665	63372.0
0.97887524	61917.0
0.98987384	60989.0
1.00087244	60575.0
1.01187103	59482.0
1.02286963	58747.0
1.03386823	57659.0
1.04486682	57573.0
1.05586542	55713.0
1.06686402	55446.0
1.07786261	54582.0
1.08886121	53986.0
1.09985981	53017.0
1.11085841	52024.0
1.121857	51282.0
1.1328556	50826.0
1.1438542	50193.0
1.15485279	49367.0
1.16585139	48521.0
1.17684999	47574.0
1.18784858	47181.0
1.19884718	46649.0
1.20984578	45664.0
1.22084438	45292.0
1.23184297	45109.0
1.24284157	43999.0
1.25384017	43660.0
1.26483876	42919.0
1.27583736	42247.0
1.28683596	41693.0
1.29783455	41206.0
1.30883315	40964.0
1.31983175	40155.0
1.33083035	39476.0
1.34182894	39313.0
1.35282754	38673.0
1.36382614	37590.0
1.37482473	37335.0
1.38582333	37094.0
1.39682193	37074.0
1.40782052	36252.0
1.41881912	35697.0
1.42981772	35017.0
1.44081631	34804.0
1.45181491	34835.0
1.46281351	34075.0
1.47381211	33683.0
1.4848107	33469.0
1.4958093	33329.0
1.5068079	32848.0
1.51780649	32124.0
1.52880509	32118.0
1.53980369	30930.0
1.55080228	30626.0
1.56180088	30652.0
1.57279948	30327.0
1.58379808	29900.0
1.59479667	29861.0
1.60579527	29384.0
1.61679387	28492.0
1.62779246	28756.0
1.63879106	27977.0
1.64978966	28156.0
1.66078825	27501.0
1.67178685	27201.0
1.68278545	26914.0
1.69378405	26816.0
1.70478264	26485.0
1.71578124	26038.0
1.72677984	25769.0
1.73777843	25331.0
1.74877703	25018.0
1.75977563	24580.0
1.77077422	24575.0
1.78177282	24352.0
1.79277142	24397.0
1.80377001	23988.0
1.81476861	23623.0
1.82576721	23295.0
1.83676581	22938.0
1.8477644	22681.0
1.858763	22691.0
1.8697616	22141.0
1.88076019	22023.0
1.89175879	21847.0
1.90275739	21813.0
1.91375598	21707.0
1.92475458	20981.0
1.93575318	21001.0
1.94675178	21094.0
