Bin Edges (MeV)	Photon Count
5.7e-07	16446.0
0.010987	16140.0
0.02197344	15690.0
0.03295987	15859.0
0.0439463	15551.0
0.05493274	15242.0
0.06591917	15721.0
0.0769056	17040.0
0.08789204	20663.0
0.09887847	27366.0
0.1098649	34722.0
0.12085134	42780.0
0.13183777	48933.0
0.1428242	54064.0
0.15381064	58695.0
0.16479707	62615.0
0.17578351	65676.0
0.18676994	68959.0
0.19775637	72285.0
0.20874281	73993.0
0.21972924	75462.0
0.23071567	78890.0
0.24170211	80742.0
0.25268854	83203.0
0.26367497	85222.0
0.27466141	85972.0
0.28564784	87159.0
0.29663427	86555.0
0.30762071	87006.0
0.31860714	86191.0
0.32959357	86480.0
0.34058001	85045.0
0.35156644	84230.0
0.36255288	82877.0
0.37353931	81665.0
0.38452574	80601.0
0.39551218	78726.0
0.40649861	77966.0
0.41748504	76005.0
0.42847148	73740.0
0.43945791	72027.0
0.45044434	70891.0
0.46143078	69151.0
0.47241721	68276.0
0.48340364	66335.0
0.49439008	64757.0
0.50537651	62603.0
0.51636294	61509.0
0.52734938	59459.0
0.53833581	58899.0
0.54932225	56920.0
0.56030868	55638.0
0.57129511	54047.0
0.58228155	53417.0
0.59326798	51866.0
0.60425441	50413.0
0.61524085	49063.0
0.62622728	48391.0
0.63721371	47308.0
0.64820015	46424.0
0.65918658	45136.0
0.67017301	43955.0
0.68115945	43097.0
0.69214588	42262.0
0.70313232	40902.0
0.71411875	40018.0
0.72510518	39363.0
0.73609162	38510.0
0.74707805	38003.0
0.75806448	36974.0
0.76905092	36447.0
0.78003735	35751.0
0.79102378	34662.0
0.80201022	33629.0
0.81299665	33173.0
0.82398308	32826.0
0.83496952	31527.0
0.84595595	31010.0
0.85694238	30165.0
0.86792882	30028.0
0.87891525	29584.0
0.88990169	29058.0
0.90088812	27996.0
0.91187455	27903.0
0.92286099	27172.0
0.93384742	26219.0
0.94483385	26175.0
0.95582029	25618.0
0.96680672	24930.0
0.97779315	25130.0
0.98877959	24420.0
0.99976602	23640.0
1.01075245	23874.0
1.02173889	23172.0
1.03272532	22903.0
1.04371175	22446.0
1.05469819	22239.0
1.06568462	21271.0
1.07667106	21238.0
1.08765749	20846.0
1.09864392	20559.0
1.10963036	20277.0
1.12061679	19871.0
1.13160322	19495.0
1.14258966	19421.0
1.15357609	18831.0
1.16456252	18853.0
1.17554896	18380.0
1.18653539	18001.0
1.19752182	17353.0
1.20850826	17061.0
1.21949469	17112.0
1.23048112	16898.0
1.24146756	16521.0
1.25245399	16558.0
1.26344043	16083.0
1.27442686	15860.0
1.28541329	15254.0
1.29639973	15363.0
1.30738616	14874.0
1.31837259	14781.0
1.32935903	14515.0
1.34034546	14229.0
1.35133189	14090.0
1.36231833	13774.0
1.37330476	13492.0
1.38429119	13363.0
1.39527763	13169.0
1.40626406	13083.0
1.41725049	12910.0
1.42823693	12682.0
1.43922336	12519.0
1.4502098	12118.0
1.46119623	11959.0
1.47218266	11775.0
1.4831691	11787.0
1.49415553	11676.0
1.50514196	11403.0
1.5161284	11363.0
1.52711483	10933.0
1.53810126	10876.0
1.5490877	10743.0
1.56007413	10707.0
1.57106056	10579.0
1.582047	10216.0
1.59303343	10083.0
1.60401987	10031.0
1.6150063	9731.0
1.62599273	9583.0
1.63697917	9703.0
1.6479656	9349.0
1.65895203	9516.0
1.66993847	9335.0
1.6809249	9024.0
1.69191133	8828.0
1.70289777	8791.0
1.7138842	8755.0
1.72487063	8544.0
1.73585707	8355.0
1.7468435	8228.0
1.75782993	8000.0
1.76881637	8212.0
1.7798028	7728.0
1.79078924	8053.0
1.80177567	7721.0
1.8127621	7486.0
1.82374854	7382.0
1.83473497	7503.0
1.8457214	7380.0
1.85670784	7105.0
1.86769427	7113.0
1.8786807	6920.0
1.88966714	7021.0
1.90065357	6688.0
1.91164	6657.0
1.92262644	6540.0
1.93361287	6383.0
1.9445993	6376.0
1.95558574	6432.0
1.96657217	6315.0
1.97755861	6154.0
1.98854504	5988.0
1.99953147	5769.0
2.01051791	5880.0
2.02150434	5759.0
2.03249077	5766.0
2.04347721	5538.0
2.05446364	5550.0
2.06545007	5503.0
2.07643651	5572.0
2.08742294	5381.0
2.09840937	5234.0
2.10939581	5123.0
2.12038224	5177.0
2.13136867	5061.0
2.14235511	4757.0
2.15334154	5015.0
2.16432798	4839.0
2.17531441	4651.0
2.18630084	4700.0
2.19728728	4483.0
2.20827371	4671.0
2.21926014	4532.0
2.23024658	4425.0
2.24123301	4322.0
2.25221944	4320.0
2.26320588	4227.0
2.27419231	4162.0
2.28517874	4074.0
2.29616518	4025.0
2.30715161	3924.0
2.31813805	3907.0
2.32912448	3925.0
2.34011091	3714.0
2.35109735	3769.0
2.36208378	3647.0
2.37307021	3605.0
2.38405665	3519.0
2.39504308	3512.0
2.40602951	3491.0
2.41701595	3404.0
2.42800238	3161.0
2.43898881	3313.0
2.44997525	3221.0
2.46096168	3202.0
2.47194811	3046.0
2.48293455	3067.0
2.49392098	2940.0
2.50490742	2902.0
2.51589385	2989.0
2.52688028	2932.0
2.53786672	2908.0
2.54885315	2757.0
2.55983958	2668.0
2.57082602	2721.0
2.58181245	2562.0
2.59279888	2530.0
2.60378532	2509.0
2.61477175	2461.0
2.62575818	2414.0
2.63674462	2481.0
2.64773105	2338.0
2.65871748	2402.0
2.66970392	2330.0
2.68069035	2282.0
2.69167679	2187.0
2.70266322	2177.0
2.71364965	2103.0
2.72463609	2199.0
2.73562252	2066.0
2.74660895	2031.0
2.75759539	2004.0
2.76858182	1916.0
2.77956825	1848.0
2.79055469	1938.0
2.80154112	1820.0
2.81252755	1826.0
2.82351399	1757.0
2.83450042	1668.0
2.84548685	1730.0
2.85647329	1593.0
2.86745972	1659.0
2.87844616	1570.0
2.88943259	1600.0
2.90041902	1452.0
2.91140546	1458.0
2.92239189	1475.0
2.93337832	1367.0
2.94436476	1396.0
2.95535119	1263.0
2.96633762	1257.0
2.97732406	1194.0
2.98831049	1174.0
2.99929692	1250.0
3.01028336	1194.0
3.02126979	1187.0
3.03225622	1088.0
3.04324266	1067.0
3.05422909	1003.0
3.06521553	1077.0
3.07620196	1005.0
3.08718839	943.0
3.09817483	884.0
3.10916126	906.0
3.12014769	827.0
3.13113413	839.0
3.14212056	829.0
3.15310699	784.0
3.16409343	755.0
3.17507986	764.0
3.18606629	694.0
3.19705273	673.0
3.20803916	663.0
3.2190256	602.0
3.23001203	591.0
3.24099846	555.0
3.2519849	511.0
3.26297133	489.0
3.27395776	543.0
3.2849442	422.0
3.29593063	426.0
3.30691706	411.0
3.3179035	405.0
3.32888993	320.0
3.33987636	356.0
3.3508628	299.0
3.36184923	279.0
3.37283566	239.0
3.3838221	236.0
3.39480853	176.0
3.40579497	170.0
3.4167814	126.0
3.42776783	123.0
3.43875427	100.0
3.4497407	97.0
3.46072713	134.0
3.47171357	160.0
