Bin Edges (MeV)	Neutron Count
0.0	0.00574822
0.00118534	0.02337065
0.00617854	0.02313819
0.01117175	0.02258873
0.01616496	0.02260193
0.02115816	0.0224223
0.02615137	0.02162452
0.03114457	0.0266494
0.03613778	0.035313
0.04113099	0.03498656
0.04612419	0.03479939
0.0511174	0.03398109
0.05611061	0.03385487
0.06110381	0.03396804
0.06609702	0.03679299
0.07109023	0.04155749
0.07608343	0.04051547
0.08107664	0.04209462
0.08606985	0.03967218
0.09106305	0.03999983
0.09605626	0.03970978
0.10104947	0.04072528
0.10604267	0.04124188
0.11103588	0.04177017
0.11602908	0.04178797
0.12102229	0.04077295
0.1260155	0.04064237
0.1310087	0.04067205
0.13600191	0.04023262
0.14099512	0.04204955
0.14598832	0.04115087
0.15098153	0.03959231
0.15597474	0.0410566
0.16096794	0.03996938
0.16596115	0.0399631
0.17095436	0.03903194
0.17594756	0.0401355
0.18094077	0.04074039
0.18593398	0.04105945
0.19092718	0.03984302
0.19592039	0.03953726
0.20091359	0.03927802
0.2059068	0.04124707
0.21090001	0.04132911
0.21589321	0.04066904
0.22088642	0.03966828
0.22587963	0.0407684
0.23087283	0.03851138
0.23586604	0.03920694
0.24085925	0.04062381
0.24585245	0.03946177
0.25084566	0.03948449
0.25583887	0.03972681
0.26083207	0.03871963
0.26582528	0.03778061
0.27081849	0.03865466
0.27581169	0.03946076
0.2808049	0.03789899
0.28579811	0.03918846
0.29079131	0.03954086
0.29578452	0.03801913
0.30077772	0.03821135
0.30577093	0.03902025
0.31076414	0.03994095
0.31575734	0.04058705
0.32075055	0.0374824
0.32574376	0.03784321
0.33073696	0.03802781
0.33573017	0.03650066
0.34072338	0.03757763
0.34571658	0.03735362
0.35070979	0.03843684
0.355703	0.0369081
0.3606962	0.03642764
0.36568941	0.03649752
0.37068262	0.03533568
0.37567582	0.03483277
0.38066903	0.03764248
0.38566223	0.03568562
0.39065544	0.03355662
0.39564865	0.03468907
0.40064185	0.03517828
0.40563506	0.03404584
0.41062827	0.03447785
0.41562147	0.03419556
0.42061468	0.03427986
0.42560789	0.03467323
0.43060109	0.03336198
0.4355943	0.03403634
0.44058751	0.03219122
0.44558071	0.03379994
0.45057392	0.03440844
0.45556713	0.03321162
0.46056033	0.03166734
0.46555354	0.0311365
0.47054674	0.03123302
0.47553995	0.03030645
0.48053316	0.03072879
0.48552636	0.03096017
0.49051957	0.03062311
0.49551278	0.03144593
0.50050598	0.02986967
0.50549919	0.03058345
0.5104924	0.02955244
0.5154856	0.02970668
0.52047881	0.02904661
0.52547202	0.02928012
0.53046522	0.02776738
0.53545843	0.02837654
0.54045164	0.02833592
0.54544484	0.02813287
0.55043805	0.02772178
0.55543125	0.02760824
0.56042446	0.02633258
0.56541767	0.02711042
0.57041087	0.02671632
0.57540408	0.0262185
0.58039729	0.02561696
0.58539049	0.0251441
0.5903837	0.02642935
0.59537691	0.02526645
0.60037011	0.02520302
0.60536332	0.0248013
0.61035653	0.02387099
0.61534973	0.02329187
0.62034294	0.0246185
0.62533615	0.02451095
0.63032935	0.02345695
0.63532256	0.02327411
0.64031577	0.02214482
0.64530897	0.02299448
0.65030218	0.02237925
0.65529538	0.02276165
0.66028859	0.02188788
0.6652818	0.02198618
0.670275	0.02078475
0.67526821	0.02151653
0.68026142	0.02170221
0.68525462	0.02062528
0.69024783	0.0204636
0.69524104	0.02082902
0.70023424	0.02025321
0.70522745	0.02012033
0.71022066	0.01813819
0.71521386	0.01834859
0.72020707	0.01857808
0.72520028	0.01757731
0.73019348	0.01850774
0.73518669	0.01780151
0.74017989	0.01858621
0.7451731	0.01789119
0.75016631	0.01709528
0.75515951	0.01713783
0.76015272	0.01583237
0.76514593	0.01682968
0.77013913	0.01641036
0.77513234	0.0159797
0.78012555	0.01579837
0.78511875	0.01519771
0.79011196	0.0153993
0.79510517	0.01422453
0.80009837	0.01471661
0.80509158	0.01468228
0.81008479	0.01446485
0.81507799	0.01440763
0.8200712	0.01372101
0.8250644	0.01360736
0.83005761	0.01305468
0.83505082	0.0127084
0.84004402	0.01225824
0.84503723	0.01252372
0.85003044	0.01222361
0.85502364	0.01116169
0.86001685	0.0111125
0.86501006	0.01173524
0.87000326	0.0106187
0.87499647	0.01189807
0.87998968	0.0109211
0.88498288	0.01028142
0.88997609	0.01017674
0.8949693	0.00927839
0.8999625	0.01066627
0.90495571	0.00871098
0.90994891	0.00930811
0.91494212	0.00920273
0.91993533	0.0092964
0.92492853	0.0081724
0.92992174	0.0079254
0.93491495	0.00780777
0.93990815	0.00831416
0.94490136	0.00763113
0.94989457	0.00750159
0.95488777	0.00743093
0.95988098	0.00669262
0.96487419	0.00649769
0.96986739	0.00590591
0.9748606	0.00617813
0.97985381	0.0060006
0.98484701	0.00552718
0.98984022	0.0058349
0.99483343	0.00569753
0.99982663	0.00484953
1.00481984	0.00451672
1.00981304	0.00480198
1.01480625	0.00443351
1.01979946	0.00427899
1.02479266	0.00412448
1.02978587	0.00359311
1.03477908	0.00366216
1.03977228	0.00349515
1.04476549	0.00316114
1.0497587	0.00280328
1.0547519	0.00286292
1.05974511	0.00275556
1.06473832	0.00244819
1.06973152	0.00217752
1.07472473	0.0020818
1.07971794	0.00197412
1.08471114	0.00175876
1.08970435	0.00156733
1.09469755	0.00151948
1.09969076	0.00116201
1.10468397	0.00093547
1.10967717	0.00064763
1.11467038	0.00076756
1.11966359	0.00113935
1.12465679	0.00089949
