Bin Edges (MeV)	Neutron Count
0.0	0.00086382
0.00036787	0.01059829
0.00535741	0.01060357
0.01034695	0.0102628
0.01533649	0.01041073
0.02032603	0.01022582
0.02531557	0.00997486
0.03030511	0.01063352
0.03529465	0.0158828
0.04028419	0.01575222
0.04527373	0.01562599
0.05026328	0.01537354
0.05525282	0.01512109
0.06024236	0.01469017
0.0652319	0.01582345
0.07022144	0.01771981
0.07521098	0.0175157
0.08020052	0.01713434
0.08519006	0.01717194
0.0901796	0.01708063
0.09516914	0.01679058
0.10015868	0.01624295
0.10514822	0.0172969
0.11013776	0.01824069
0.1151273	0.01685765
0.12011685	0.01716037
0.12510639	0.01609787
0.13009593	0.0165668
0.13508547	0.01642936
0.14007501	0.01693671
0.14506455	0.01676703
0.15005409	0.0170624
0.15504363	0.01627684
0.16003317	0.01628312
0.16502271	0.0158055
0.17001225	0.0155835
0.17500179	0.01615258
0.17999133	0.01544798
0.18498087	0.01502921
0.18997042	0.0152818
0.19495996	0.01474338
0.1999495	0.01461709
0.20493904	0.01553821
0.20992858	0.01530944
0.21491812	0.0154301
0.21990766	0.01500425
0.2248972	0.01523137
0.22988674	0.01457839
0.23487628	0.01421642
0.23986582	0.01441537
0.24485536	0.01447159
0.2498449	0.0149411
0.25483445	0.01440343
0.25982399	0.01413838
0.26481353	0.01395664
0.26980307	0.0134114
0.27479261	0.01356056
0.27978215	0.01379165
0.28477169	0.01372757
0.28976123	0.0131349
0.29475077	0.01323101
0.29974031	0.01284657
0.30472985	0.01238205
0.30971939	0.01318369
0.31470893	0.01194872
0.31969847	0.01246057
0.32468802	0.01267873
0.32967756	0.01170538
0.3346671	0.01193194
0.33965664	0.01103077
0.34464618	0.01180186
0.34963572	0.01147864
0.35462526	0.01089335
0.3596148	0.01089335
0.36460434	0.01049151
0.36959388	0.00979266
0.37458342	0.0094064
0.37957296	0.01001082
0.3845625	0.01019201
0.38955204	0.01030978
0.39454159	0.00953972
0.39953113	0.00964843
0.40452067	0.00883307
0.40951021	0.00878611
0.41449975	0.00880412
0.41948929	0.00877602
0.42447883	0.00878538
0.42946837	0.00867299
0.43445791	0.00732428
0.43944745	0.00757716
0.44443699	0.00753304
0.44942653	0.00743184
0.45441607	0.00736427
0.45940562	0.00706507
0.46439516	0.0069782
0.4693847	0.00665005
0.47437424	0.00677552
0.47936378	0.00619174
0.48435332	0.00625548
0.48934286	0.00579946
0.4943324	0.00596799
0.49932194	0.00534343
0.50431148	0.00523438
0.50930102	0.0048874
0.51429056	0.00468916
0.5192801	0.00450776
0.52426964	0.00514737
0.52925919	0.00396967
0.53424873	0.00383769
0.53923827	0.00383769
0.54422781	0.00397982
0.54921735	0.00325882
0.55420689	0.00314249
0.55919643	0.00315286
0.56418597	0.00266541
0.56917551	0.00278986
0.57416505	0.00230242
0.57915459	0.00220907
0.58414413	0.00177399
0.58913367	0.00180777
0.59412321	0.00133204
0.59911276	0.00121575
0.6041023	0.00094088
0.60909184	0.0009726
0.61408138	0.00096203
0.61907092	0.00143862
0.62406046	0.00149496
